pos_x,pos_y
-34.161293029785156,-391.5637512207031
-32.7047233581543,-391.9570007324219
-31.243648529052734,-392.3453369140625
-29.77834701538086,-392.7297058105469
-28.308626174926758,-393.10943603515625
-26.83470916748047,-393.48504638671875
-25.35664939880371,-393.8558044433594
-23.874671936035156,-394.2223815917969
-22.388282775878906,-394.5835266113281
-20.89769744873047,-394.9384765625
-19.403066635131836,-395.2876281738281
-17.904403686523438,-395.6305236816406
-16.40176010131836,-395.9689636230469
-14.895431518554688,-396.3018798828125
-13.386380195617676,-396.6300964355469
-11.873025894165039,-396.95196533203125
-10.355720520019531,-397.2677001953125
-8.835458755493164,-397.5775451660156
-7.311620712280273,-397.881591796875
-5.784057140350342,-398.1788635253906
-4.253220081329346,-398.4696044921875
-2.777991533279419,-398.74273681640625
-1.2997418642044067,-399.0088195800781
0.18175962567329407,-399.2695007324219
1.66635262966156,-399.5231018066406
3.153653383255005,-399.7712707519531
4.644006729125977,-400.0126647949219
6.13728141784668,-400.2478942871094
7.633582592010498,-400.4761047363281
9.132755279541016,-400.6980895996094
10.634530067443848,-400.9141540527344
12.139081001281738,-401.1243896484375
13.646263122558594,-401.3294677734375
15.155801773071289,-401.5281066894531
16.668109893798828,-401.72265625
18.18300437927246,-401.9120788574219
19.70014762878418,-402.09716796875
21.2202205657959,-402.2767639160156
22.742603302001953,-402.4505310058594
24.2675724029541,-402.61968994140625
25.79526710510254,-402.7833557128906
27.324989318847656,-402.9425964355469
28.8574161529541,-403.0971984863281
30.392370223999023,-403.24737548828125
31.92969512939453,-403.39276123046875
33.46971893310547,-403.533203125
35.012176513671875,-403.66900634765625
36.55732345581055,-403.7996826171875
38.10486602783203,-403.9255676269531
39.654747009277344,-404.04681396484375
41.2070426940918,-404.1633605957031
42.76176834106445,-404.275634765625
44.318756103515625,-404.3840026855469
45.815486907958984,-404.4840087890625
47.31380081176758,-404.579833984375
48.87100601196289,-404.6751708984375
50.42229080200195,-404.7661437988281
51.96763229370117,-404.8533935546875
53.50689697265625,-404.93585205078125
55.04020309448242,-405.01348876953125
56.56781005859375,-405.0857849121094
58.08940124511719,-405.152587890625
59.605133056640625,-405.21466064453125
61.115074157714844,-405.27105712890625
62.619117736816406,-405.3224182128906
64.17701721191406,-405.37060546875
65.72860717773438,-405.4134521484375
67.27394104003906,-405.4511413574219
68.81298065185547,-405.4831237792969
70.34571838378906,-405.5103759765625
71.87216186523438,-405.5318603515625
73.3922348022461,-405.54833984375
74.9062271118164,-405.5595397949219
76.4140625,-405.565673828125
77.91560363769531,-405.5677795410156
79.46844482421875,-405.5649719238281
81.01478576660156,-405.5577392578125
82.55457305908203,-405.5460205078125
84.0879135131836,-405.5299987792969
85.61486053466797,-405.5096435546875
87.13539123535156,-405.4852294921875
88.6499252319336,-405.4561767578125
90.15808868408203,-405.423095703125
91.66007995605469,-405.3859558105469
93.21123504638672,-405.3438720703125
94.75574493408203,-405.29779052734375
96.29399871826172,-405.248779296875
97.82601928710938,-405.19720458984375
99.35184478759766,-405.1444396972656
100.8707504272461,-405.0882568359375
102.38397979736328,-405.0326843261719
103.89144897460938,-404.971923828125
105.3926773071289,-404.9115905761719
106.94123840332031,-404.8485412597656
108.48365783691406,-404.7824401855469
110.01996612548828,-404.7132263183594
111.55035400390625,-404.6417541503906
113.07457733154297,-404.5707702636719
114.59294891357422,-404.4988098144531
116.1056137084961,-404.4234619140625
117.61231231689453,-404.346435546875
119.11316680908203,-404.26641845703125
120.65995788574219,-404.1816101074219
122.20054626464844,-404.0943603515625
123.73521423339844,-404.0045471191406
125.26367950439453,-403.9136047363281
126.78659057617188,-403.82275390625
128.303955078125,-403.73248291015625
129.81585693359375,-403.641845703125
131.32179260253906,-403.548828125
132.82240295410156,-403.4521789550781
134.36721801757812,-403.34991455078125
135.9061279296875,-403.2464904785156
137.43922424316406,-403.14019775390625
138.966552734375,-403.0320739746094
140.48838806152344,-402.9208984375
142.00460815429688,-402.8075866699219
143.51528930664062,-402.6912536621094
145.0202178955078,-402.57135009765625
146.51953125,-402.44586181640625
148.0606231689453,-402.30596923828125
149.59498596191406,-402.1562805175781
151.12245178222656,-401.99371337890625
152.64259338378906,-401.81573486328125
154.1547088623047,-401.6189270019531
155.65814208984375,-401.4010009765625
157.15260314941406,-401.16009521484375
158.6372833251953,-400.8935241699219
160.1117706298828,-400.6019287109375
161.62132263183594,-400.2744140625
163.1194305419922,-399.9210205078125
164.60598754882812,-399.5419921875
166.08091735839844,-399.138916015625
167.5441131591797,-398.7124328613281
168.9953155517578,-398.2629699707031
170.43409729003906,-397.7904968261719
171.86019897460938,-397.2947998046875
173.27301025390625,-396.7760314941406
174.67257690429688,-396.2346496582031
176.10096740722656,-395.65386962890625
177.51300048828125,-395.047119140625
178.9089813232422,-394.41656494140625
180.28707885742188,-393.7568359375
181.6468963623047,-393.07080078125
182.98558044433594,-392.3540344238281
184.30218505859375,-391.60675048828125
185.59524536132812,-390.8274841308594
186.86395263671875,-390.01739501953125
188.1075897216797,-389.17694091796875
189.36012268066406,-388.2793884277344
190.58241271972656,-387.3485412597656
191.7727813720703,-386.3846435546875
192.9288330078125,-385.3867492675781
194.05026245117188,-384.35699462890625
195.13470458984375,-383.2955322265625
196.1807098388672,-382.20367431640625
197.18695068359375,-381.08258056640625
198.15220642089844,-379.9331359863281
199.0989532470703,-378.721435546875
199.99659729003906,-377.48004150390625
200.84107971191406,-376.2095031738281
