pos_x,pos_y,curvature
-117.17447662353516,319.4538269042969,6.60024242283837e-06
-115.84221649169922,318.5907592773437,6.684052499623488e-06
-114.50930786132812,317.72760009765625,6.768372163207977e-06
-113.17594909667967,316.8641052246094,6.853204155913406e-06
-111.84214782714844,316.000244140625,6.938551213557874e-06
-110.50788116455078,315.135986328125,7.024416065123959e-06
-109.17324829101562,314.271728515625,7.11080143242068e-06
-107.83805084228516,313.4071655273437,7.197710029738863e-06
-106.50236511230467,312.54217529296875,7.285144563500095e-06
-105.16629028320312,311.677001953125,7.373107731899278e-06
-103.82987213134766,310.81134033203125,7.461602224540754e-06
-102.49314880371094,309.9452514648437,7.5506307220677385e-06
-101.15592193603516,309.0790405273437,7.640195895785026e-06
-99.81832885742188,308.2124938964844,7.73030040727557e-06
-98.48041534423828,307.345458984375,7.820946908009695e-06
-97.14218139648438,306.4779357910156,7.912138038948014e-06
-95.8036651611328,305.60992431640625,8.003876430137389e-06
-94.46507263183594,304.74127197265625,8.096164700300197e-06
-93.1263427734375,303.871826171875,8.1890054564165e-06
-91.78763580322266,303.00164794921875,8.282401293299473e-06
-90.44881439208984,302.1307983398437,8.376354793163804e-06
-89.10989379882812,301.2592468261719,8.470868525187175e-06
-87.77068328857422,300.3873596191406,8.565945045064435e-06
-86.43115234375,299.51513671875,8.661586894555011e-06
-85.09140014648438,298.6422119140625,8.757796601022973e-06
-83.75101470947266,297.7696228027344,8.854576676970039e-06
-82.40998840332031,296.8970642089844,8.951929619561237e-06
-81.06812286376953,296.02490234375,9.049857910143428e-06
-79.7254638671875,295.15338134765625,9.148364013756445e-06
-78.38196563720703,294.2822265625,9.247450378637074e-06
-77.03773498535156,293.411376953125,9.347119435715374e-06
-75.693115234375,292.5406188964844,9.447373598103896e-06
-74.34772491455078,291.6698608398437,9.548215260579248e-06
-73.00194549560547,290.799072265625,9.649646799056338e-06
-71.65574645996094,289.92822265625,9.751670570054949e-06
-70.30895233154297,289.057373046875,9.854288910158913e-06
-68.96178436279297,288.18670654296875,9.957504135467595e-06
-67.61421966552734,287.3155212402344,1.0061318541040007e-05
-66.26605224609375,286.444580078125,1.0165734400330932e-05
-64.91747283935547,285.57373046875,1.027075396461956e-05
-63.56842422485352,284.7025756835937,1.0376379462430772e-05
-62.21883392333984,283.83160400390625,1.0482613098947908e-05
-60.868743896484375,282.9607238769531,1.0589457055418782e-05
-59.51821899414063,282.0897216796875,1.069691348855307e-05
-58.16746520996094,281.218505859375,1.0804984529912464e-05
-56.816402435302734,280.3469543457031,1.0913672285292815e-05
-55.46501159667969,279.4753723144531,1.1022978834098545e-05
-54.11336135864258,278.6034240722656,1.1132906228709092e-05
-52.76143646240234,277.73114013671875,1.1243456493837603e-05
-51.40921401977539,276.858642578125,1.1354631625881867e-05
-50.05671691894531,275.9858093261719,1.1466433592267029e-05
-48.70413589477539,275.1125183105469,1.157886433078082e-05
-47.35145568847656,274.23876953125,1.1691925748900749e-05
-45.99851608276367,273.3647155761719,1.1805619723113167e-05
-44.645389556884766,272.4902648925781,1.1919948098224762e-05
-43.29212951660156,271.6154479980469,1.2034912686666e-05
-41.93844985961914,270.7405700683594,1.2150515267786631e-05
-40.58444213867188,269.86541748046875,1.226675758714334e-05
-39.23019027709961,268.9901733398437,1.2383641355779535e-05
-37.87546157836914,268.11492919921875,1.2501168249497008e-05
-36.52018356323242,267.24005126953125,1.2619339908120092e-05
-35.164306640625,266.365234375,1.2738157934751674e-05
-33.80783462524414,265.4906921386719,1.2857623895021404e-05
-32.450767517089844,264.6164855957031,1.2977739316325987e-05
-31.09310340881348,263.74273681640625,1.3098505687061861e-05
-29.734834671020508,262.86932373046875,1.321992445584979e-05
-28.375925064086918,261.99615478515625,1.3341997030751955e-05
-27.0164794921875,261.12310791015625,1.346472477848106e-05
-25.65671157836914,260.25006103515625,1.358810902360183e-05
-24.29658317565918,259.37701416015625,1.3712151047724574e-05
-22.93605232238769,258.50396728515625,1.3836852088691668e-05
-21.575122833251957,257.63092041015625,1.3962213339755778e-05
-20.21389579772949,256.7575988769531,1.4088235948750707e-05
-18.852426528930664,255.88417053222656,1.4214921017254862e-05
-17.490825653076172,255.010498046875,1.4342269599747101e-05
-16.129026412963867,254.13661193847656,1.4470282702755027e-05
-14.76701545715332,253.26235961914065,1.4598961283996104e-05
-13.404827117919922,252.3877868652344,1.4728306251511383e-05
-12.042478561401367,251.51290893554688,1.48583184627918e-05
-10.679986953735352,250.6375274658203,1.4988998723897358e-05
-9.317389488220217,249.76171875,1.5120347788569224e-05
-7.95471715927124,248.8856964111328,1.525236635733478e-05
-6.591939926147461,248.0093688964844,1.5385055076605504e-05
-5.228983879089356,247.1326446533203,1.5518414537767915e-05
-3.8658504486083984,246.2556304931641,1.5652445276268092e-05
-2.502558469772339,245.3781890869141,1.5787147770688846e-05
-1.1391979455947876,244.50033569335935,1.5922522441820644e-05
0.2242143452167511,243.62196350097656,1.6058569651725785e-05
1.5876991748809814,242.74313354492188,1.619528970279622e-05
2.9512388706207275,241.86392211914065,1.6332682836804937e-05
4.314863681793213,240.98423767089844,1.647074923395093e-05
5.678479671478272,240.10397338867188,1.6609489011898283e-05
7.042227745056152,239.2232818603516,1.6748902224809158e-05
8.406143188476562,238.34222412109372,1.688898886237065e-05
